"","ID","Pathway_Size","CoExp_Pairs","pvalue","padj","TERM","Description"
"1","GO:0000139",529,6802,0,0,"Golgi membrane","Golgi membrane"
"2","GO:0000786",76,656,0,0,"nucleosome","nucleosome"
"3","GO:0002181",77,1683,0,0,"cytoplasmic translation","cytoplasmic translation"
"4","GO:0002250",308,8631,0,0,"adaptive immune response","adaptive immune response"
"5","GO:0003677",694,11774,0,0,"DNA binding","DNA binding"
"6","GO:0003723",1050,44231,0,0,"RNA binding","RNA binding"
"7","GO:0003735",126,3076,0,0,"structural constituent of ribosome","structural constituent of ribosome"
"8","GO:0003823",99,3293,0,0,"antigen binding","antigen binding"
"9","GO:0004888",113,930,0,0,"transmembrane signaling receptor activity","transmembrane signaling receptor activity"
"10","GO:0005201",90,929,0,0,"extracellular matrix structural constituent","extracellular matrix structural constituent"
"11","GO:0005515",9985,1685102,0,0,"protein binding","protein binding"
"12","GO:0005524",1116,26698,0,0,"ATP binding","ATP binding"
"13","GO:0005634",4012,346527,0,0,"nucleus","nucleus"
"14","GO:0005654",2946,237153,0,0,"nucleoplasm","nucleoplasm"
"15","GO:0005730",799,19488,0,0,"nucleolus","nucleolus"
"16","GO:0005737",3776,258055,0,0,"cytoplasm","cytoplasm"
"17","GO:0005739",1232,42682,0,0,"mitochondrion","mitochondrion"
"18","GO:0005743",367,7317,0,0,"mitochondrial inner membrane","mitochondrial inner membrane"
"19","GO:0005759",333,4037,0,0,"mitochondrial matrix","mitochondrial matrix"
"20","GO:0005783",822,12929,0,0,"endoplasmic reticulum","endoplasmic reticulum"
"21","GO:0005789",831,13006,0,0,"endoplasmic reticulum membrane","endoplasmic reticulum membrane"
"22","GO:0005794",771,13801,0,0,"Golgi apparatus","Golgi apparatus"
"23","GO:0005813",493,8705,0,0,"centrosome","centrosome"
"24","GO:0005829",4016,353401,0,0,"cytosol","cytosol"
"25","GO:0005886",3701,196972,0,0,"plasma membrane","plasma membrane"
"26","GO:0005925",335,3752,0,0,"focal adhesion","focal adhesion"
"27","GO:0006281",186,1522,0,0,"DNA repair","DNA repair"
"28","GO:0006338",673,11333,0,0,"chromatin remodeling","chromatin remodeling"
"29","GO:0006364",106,823,0,0,"rRNA processing","rRNA processing"
"30","GO:0006396",175,3596,0,0,"RNA processing","RNA processing"
"31","GO:0006412",138,2715,0,0,"translation","translation"
"32","GO:0006886",185,1739,0,0,"intracellular protein transport","intracellular protein transport"
"33","GO:0006954",298,3212,0,0,"inflammatory response","inflammatory response"
"34","GO:0006955",368,10071,0,0,"immune response","immune response"
"35","GO:0007155",363,5051,0,0,"cell adhesion","cell adhesion"
"36","GO:0007166",230,2243,0,0,"cell surface receptor signaling pathway","cell surface receptor signaling pathway"
"37","GO:0009897",302,3980,0,0,"external side of plasma membrane","external side of plasma membrane"
"38","GO:0016020",2387,102112,0,0,"membrane","membrane"
"39","GO:0016064",69,1271,0,0,"immunoglobulin mediated immune response","immunoglobulin mediated immune response"
"40","GO:0016567",283,2710,0,0,"protein ubiquitination","protein ubiquitination"
"41","GO:0016607",302,2798,0,0,"nuclear speck","nuclear speck"
"42","GO:0016887",315,3167,0,0,"ATP hydrolysis activity","ATP hydrolysis activity"
"43","GO:0019814",127,5350,0,0,"immunoglobulin complex","immunoglobulin complex"
"44","GO:0022625",46,563,0,0,"cytosolic large ribosomal subunit","cytosolic large ribosomal subunit"
"45","GO:0022626",79,1473,0,0,"cytosolic ribosome","cytosolic ribosome"
"46","GO:0030527",54,624,0,0,"structural constituent of chromatin","structural constituent of chromatin"
"47","GO:0031012",159,1406,0,0,"extracellular matrix","extracellular matrix"
"48","GO:0032543",65,557,0,0,"mitochondrial translation","mitochondrial translation"
"49","GO:0042101",94,700,0,0,"T cell receptor complex","T cell receptor complex"
"50","GO:0042802",1294,27213,0,0,"identical protein binding","identical protein binding"
"51","GO:0046872",1691,57114,0,0,"metal ion binding","metal ion binding"
"52","GO:0051301",289,3944,0,0,"cell division","cell division"
"53","GO:0062023",290,5052,0,0,"collagen-containing extracellular matrix","collagen-containing extracellular matrix"
"54","GO:0070062",1602,42839,0,0,"extracellular exosome","extracellular exosome"
