"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis",473,0.681724833344654,2.23159436893137,6.36458484744174e-27,3.97022802783416e-23,2.9538373255127e-23,5018,"tags=53%, list=19%, signal=44%","64794/1736/8607/9816/23560/705/23160/10171/23404/84916/54606/55226/84128/3326/23450/79084/64434/28987/55759/10813/10528/54955/55646/51602/8662/2971/8602/51491/23246/26747/9221/25879/9136/23212/54663/27042/51010/8894/10799/54475/56902/65083/23016/1662/5901/6218/1029/10885/55127/9188/5036/9875/8568/56915/11340/84881/54552/55299/6839/285855/51001/22984/81887/96764/10360/6636/55661/23076/114049/22889/84154/84864/1968/55695/5591/57647/51096/8451/79954/10514/26164/25929/51154/57602/83732/54512/6628/9129/55636/51388/55341/2091/84946/4839/317781/9277/26834/1207/55813/11137/51504/115416/56342/6732/23481/27340/10480/55692/27292/10969/84135/79050/6627/55319/55035/4869/26831/55003/545/10713/9733/55720/26835/22894/26574/51634/8996/26155/6895/113000/10419/27161/29081/10436/10856/29889/54433/6227/8886/10248/27339/26832/51106/83743/8667/6632/51018/65095/55651/3692/9790/92856/121053/24148/51068/6633/6154/84549/11171/51116/81691/54960/100151683/101447996/6209/28985/6223/6631/57109/1660/85865/6635/7514/22803/118460/57819/81875/401466/9775/57418/54680/7919/3646/220717/6433/22907/55794/100151684/101954264/10557/3320/79979/2068/8175/26828/6191/10607/22868/8668/134430/79039/54496/26864/10946/25926/8664/55027/6431/6129/50628/51631/5393/11056/8666/387338/25980/6629/25804/6130/84294/11224/10772/51121/79833/51013/4809/83939/26121/55153/6193/6880/7520/60314/6169/54555/8562/79760/51202/6165/10199/23020/9669/79922/6175/11338/27341/6210/26284/22827/708/51747/8683"
"GO:0042254","GO:0042254","ribosome biogenesis",310,0.69372623345378,2.20255034875997,9.59175082705494e-20,2.99166708295843e-16,2.22579102086764e-16,4392,"tags=52%, list=17%, signal=44%","64794/1736/9816/23560/705/23160/10171/23404/84916/54606/55226/84128/64434/28987/55759/10813/10528/54955/55646/51602/2971/8602/51491/23246/9221/25879/9136/23212/54663/27042/51010/10799/54475/56902/65083/23016/1662/5901/6218/1029/10885/55127/9188/5036/9875/8568/56915/11340/84881/54552/55299/6839/285855/51001/22984/81887/10360/55661/23076/114049/84154/84864/55695/5591/57647/51096/8451/79954/10514/26164/51154/57602/83732/54512/55636/51388/55341/2091/84946/4839/317781/9277/55813/11137/51504/115416/56342/23481/27340/27292/10969/84135/79050/55319/55035/4869/55003/55720/22894/26574/26155/113000/29081/10436/29889/54433/6227/8886/10248/51106/83743/51018/65095/55651/3692/9790/92856/51068/6154/84549/51116/81691/6209/6223/57109/85865/7514/22803/118460/81875/401466/9775/57418/54680/220717/22907/55794/10557/79979/2068/6191/10607/22868/134430/79039/25926/55027/6129/50628/5393/11056/387338/6130/84294/11224/51121/51013/4809/83939/55153/6193"
"GO:0006260","GO:0006260","DNA replication",272,0.71323913140292,2.24462440731582,3.35888303624209e-19,6.98423746002605e-16,5.19625098483908e-16,3564,"tags=44%, list=13%, signal=39%","23594/56652/345643/8607/23560/5983/79075/6282/1017/146956/55388/9401/55159/116447/144455/9156/675/8208/8318/90381/9837/5984/9767/990/63922/898/8882/4172/1111/80174/10293/79913/29980/7349/5425/4176/51514/983/27000/4173/672/1763/8914/4175/64318/4796/1663/1602/10721/253714/993/81620/10926/3978/92675/64785/6742/6418/11232/2069/890/4171/2237/86/5422/4673/641/23649/51750/5111/5427/26271/79596/5558/5423/5982/84515/10036/374393/5001/5557/79915/10919/545/253980/11169/10535/4998/6749/10361/5985/3980/5424/11073/10856/83444/56897/197342/8317/3060/84083/9093/4361/92667/83743/54962/222229/116028/4999/63901/84289/5931/23595/1660/580/57418/7083/11284/9768/4678"
"GO:0016072","GO:0016072","rRNA metabolic process",261,0.707072737363171,2.21496785811391,1.92403235313566e-17,3.00052845471507e-14,2.23238385394083e-14,3988,"tags=50%, list=15%, signal=43%","84172/10849/1736/23560/705/4609/23160/10171/23404/84916/54606/55226/84128/28987/55759/10813/10528/55646/51602/84365/2971/8602/23246/9221/25879/9136/23212/54663/27042/51010/10799/65083/23016/1662/6218/1029/10885/55127/9188/5036/9875/8568/56915/11340/84881/55299/6839/64425/285855/1663/22984/81887/10360/6949/55661/23076/114049/84154/51082/55695/5591/57647/51096/79954/51154/57602/83732/54512/55636/2091/4141/4839/317781/9277/55813/11137/51504/56342/4691/23481/27340/27292/10969/84135/79050/55035/55003/9555/55720/22894/221830/9330/113000/29081/10436/54433/6227/8886/10248/51106/51018/65095/55651/3692/9790/92856/6154/84549/6597/81691/6209/6223/57109/22803/118460/9775/57418/54680/53918/10557/79979/2068/10607/9329/134430/79039/25926/6129/50628/5393/11056"
"GO:0007059","GO:0007059","chromosome segregation",424,0.613960142532298,1.98693231341461,2.44163234814364e-15,3.046180517544e-12,2.26634884694006e-12,4053,"tags=40%, list=15%, signal=35%","9319/225689/55355/221150/22974/11065/146909/51434/54892/1894/11004/6790/81624/29128/113130/699/23354/4605/28989/9493/2491/4751/55732/54820/24137/83540/25879/348995/55839/23397/23212/9928/23310/990/4439/898/29127/84722/64946/79980/891/55920/2177/5901/401541/81930/56852/983/4085/55795/7153/332/151648/5347/672/6491/3833/57405/57820/9232/701/1459/64151/9055/29899/6599/1063/79172/7272/1104/9735/81620/83903/10459/79023/54908/55143/55559/90417/11200/147841/9700/9184/10615/26993/259266/10460/86/9212/440145/54801/9787/1062/126731/26271/387103/6732/10426/55835/9133/991/8881/11044/10919/7329/91272/49856/29893/220134/83990/55055/26255/91687/3832/10783/9918/605/57520/23636/4288/7283/56992/4361/8193/6602/11130/3619/203068/157313/151246/6603/3192/9391/116028/6597/57082/51433/8086/10609/79682/7517/54069/11339/338657/9639/64210/64793/80152/7756/64682/55706/2068/10403/81610/256126/92421/3834/9031/152185/64105/29901/150465/285643/3837/10592/10464/6188/84057/27229/56647"
"GO:0006364","GO:0006364","rRNA processing",218,0.709074693148244,2.19221093113009,3.49316080946066e-15,3.63172285490259e-12,2.7019905278793e-12,4344,"tags=55%, list=16%, signal=46%","1736/23560/705/23160/10171/23404/84916/54606/55226/84128/28987/55759/10813/10528/55646/51602/8602/23246/9221/25879/9136/23212/54663/27042/51010/10799/65083/23016/1662/6218/1029/10885/55127/9188/5036/9875/8568/56915/11340/84881/55299/6839/285855/22984/81887/10360/55661/23076/114049/84154/55695/5591/57647/51096/79954/51154/57602/83732/54512/55636/2091/4839/317781/9277/55813/11137/51504/56342/23481/27340/27292/10969/84135/79050/55035/55003/55720/22894/113000/29081/10436/54433/6227/8886/10248/51106/51018/65095/55651/3692/9790/92856/6154/84549/81691/6209/6223/57109/22803/118460/9775/57418/54680/10557/79979/2068/10607/134430/79039/25926/6129/50628/5393/11056/387338/6130/84294/11224/51013/4809"
"GO:0006261","GO:0006261","DNA-templated DNA replication",156,0.753844296623806,2.24659362433973,7.84772940006701e-15,6.99344799965971e-12,5.20310359772864e-12,3468,"tags=51%, list=13%, signal=45%","23594/56652/345643/5983/1017/146956/55388/55159/144455/9156/675/8318/90381/9837/5984/990/898/8882/4172/80174/10293/29980/5425/4176/4173/672/1763/8914/4175/64318/4796/1663/1602/10721/253714/81620/10926/3978/64785/6742/11232/4171/2237/5422/641/23649/51750/5111/5427/26271/5558/5423/5982/84515/5001/5557/79915/545/11169/4998/5985/3980/5424/11073/56897/197342/8317/84083/9093/4361/92667/54962/222229/4999/63901/23595/580/57418/7083/11284"
"GO:0006399","GO:0006399","tRNA metabolic process",199,0.710783386452119,2.1821686442391,9.92257939905959e-15,7.73713128641671e-12,5.75640165400707e-12,3693,"tags=41%, list=14%, signal=36%","54517/2617/146712/4234/23404/3376/55226/24140/10940/80324/10785/134637/55621/6894/51010/51654/10799/80745/23016/11340/84705/84881/7407/1615/8565/80746/348180/92675/11062/60487/16/79587/80755/124454/112858/55687/4141/54522/90353/79691/51504/25940/51067/283459/27304/51605/11128/8270/84186/54802/3735/79897/6741/54888/9330/56931/63892/57176/126789/55798/10056/80222/27037/10248/26024/283989/54938/92935/64118/2193/79731/116461/8518/131965/221078/79693/3028/115708/51520/10557/79979/9329"
"GO:0000075","GO:0000075","cell cycle checkpoint signaling",185,0.724016791585359,2.20975348574264,1.50922258085751e-14,1.04605893993213e-11,7.78264603391901e-12,3347,"tags=43%, list=13%, signal=38%","9319/221150/595/1017/146956/55159/1869/699/9675/675/8318/90381/83540/990/1111/891/25896/2177/80279/29980/51514/983/4085/55795/332/5347/672/54584/1763/8914/57405/701/1063/7272/9735/81620/83903/10459/54908/55143/11200/63967/147841/9184/5629/84126/5591/8451/9024/9212/641/991/220134/54888/545/83990/55055/4998/9894/3014/11073/79621/197342/8883/27339/4361/11130/3619/51360/54962/4436/5810/57082/8870/79035/7517/9656/8525/580/1263"
"GO:0000280","GO:0000280","nuclear division",436,0.603087657284975,1.95742917476106,1.90135663015317e-14,1.18219667777163e-11,8.79550657649231e-12,3233,"tags=33%, list=12%, signal=29%","9319/4488/225689/54443/994/221150/22974/11065/146909/4487/146956/25788/51434/54892/11004/6790/29128/113130/8438/699/2175/4605/27085/9493/2491/4751/27338/675/54820/24137/83540/25879/23397/23212/9088/9928/23310/4439/898/3976/29127/84722/1111/891/2177/5901/5902/81930/983/4085/55795/7153/332/2827/151648/5347/3481/995/655/1164/63979/3833/57405/57820/9232/701/64151/9055/1063/84930/7272/1104/9735/81620/83903/10459/54908/55143/90417/11200/147841/9700/9184/652/10615/2069/26993/259266/9212/440145/5892/9787/3552/1062/126731/26271/9133/991/8881/10635/79866/23141/8877/11044/10919/7329/91272/49856/29893/220134/7474/83990/55055/10361/26255/10419/3832/9918/197342/23636/4288/7283/56992/4361/11130/3619/11077/157313/3192/5810/57082/51433/8086/10609/9585/400629/7517/26013/9820/9633/9639/2253/64793/11022"
