"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04022","hsa04022","cGMP-PKG signaling pathway",162,-0.704555986103415,-2.26910545637346,1e-10,1.755e-08,9.89473684210526e-09,3470,"tags=42%, list=13%, signal=37%","3643/10000/775/7408/492/147/5140/2982/4882/5594/7417/155/491/4659/5592/150/5894/7225/805/4205/1259/5595/5500/3708/5581/112/6547/489/5532/1910/5139/6543/148/5294/291/624/2776/2770/6546/4208/10335/4209/490/5997/185/154/4881/483/108/140/8654/3778/10672/482/111/5350/3779/84699/1258/115/493/477/2767/801/10398/4638/5138/5593"
"hsa04110","hsa04110","Cell cycle",157,0.703820741012352,2.09816391724636,1e-10,1.755e-08,9.89473684210526e-09,3142,"tags=43%, list=12%, signal=38%","9319/23594/994/595/4609/1017/51434/1869/113130/699/27085/8318/90381/9088/990/1875/898/4172/1111/891/80174/1019/1029/4176/983/4085/1871/151648/5347/995/4173/4175/9232/701/1663/5933/7272/993/81620/10459/11200/10926/9700/9184/7027/5591/3066/6502/890/4171/9212/5111/26271/9133/991/8881/5001/545/4998/8317/1022/55869/57082/51433/4999/1874/7532/23595"
"hsa04261","hsa04261","Adrenergic signaling in cardiomyocytes",150,-0.635844693062631,-2.03861041273392,1.54183634887982e-09,1.8039485281894e-07,1.01707099505055e-07,3506,"tags=39%, list=13%, signal=34%","5578/3776/59284/10000/775/492/147/55799/5525/783/815/5594/6324/491/805/782/5595/5500/9252/112/6547/5566/489/596/781/6543/148/5294/2776/2770/5521/817/6546/5516/490/185/154/5502/483/108/5567/6548/6330/482/111/5350/84699/6332/5523/7169/11149/818/115/7168/493/477/801/64091"
"hsa03008","hsa03008","Ribosome biogenesis in eukaryotes",87,0.776112017592526,2.16454094798307,2.41237969984712e-09,2.11686318661584e-07,1.1934931146612e-07,3725,"tags=53%, list=14%, signal=46%","1736/23560/55131/23160/10171/84916/55226/84128/10940/28987/10813/10528/51602/26354/10799/65083/5901/10885/55127/54552/1459/29107/6949/51096/83732/55341/2091/55813/25996/84135/10436/29889/54433/10248/55651/3692/9790/92856/51068/81691/1460/7514/22803/10557/10607/134430"
"hsa03013","hsa03013","Nucleocytoplasmic transport",105,0.739657760272904,2.09982780149263,6.83799078061048e-09,4.80026952798856e-07,2.70640477211531e-07,3947,"tags=47%, list=15%, signal=40%","57510/1434/11260/8480/3838/348995/57122/79711/5901/79902/9631/9688/3843/23165/55705/29107/79023/55308/10921/5905/23511/129401/23225/9818/55110/10189/64328/7329/64901/84321/65109/30000/23636/22916/23279/51068/10527/11097/8086/79228/5411/7514/9775/65110/7919/57187/55706/3837/51194"
"hsa04270","hsa04270","Vascular smooth muscle contraction",132,-0.633637745353495,-1.99432249519767,2.13659254534916e-08,1.24990663902926e-06,7.04700699167792e-07,2727,"tags=34%, list=10%, signal=31%","4882/5594/8399/4637/4659/5592/59/5894/805/9826/5595/5500/3708/5581/112/5566/5580/54776/148/2776/800/10335/185/5322/4881/108/1907/553/5567/3778/10672/5579/94274/1908/111/3779/391013/72/115/4629/4660/2767/801/10398/4638"
"hsa04740","hsa04740","Olfactory transduction",187,-0.59019090137489,-1.92666811992208,2.64285569880783e-08,1.32520335754507e-06,7.47153190038905e-07,2704,"tags=12%, list=10%, signal=11%","815/5592/123041/1261/805/2774/81285/6547/5566/5137/5136/6543/817/6546/5997/408/5567/1258/818/2788/801/5138/5593"
"hsa04925","hsa04925","Aldosterone synthesis and secretion",95,-0.670484675782154,-2.00320987142797,1.38461917320251e-07,6.07501662242601e-06,3.42511058634305e-06,3506,"tags=38%, list=13%, signal=33%","5578/6770/775/492/57118/815/491/1583/805/814/3708/5581/112/5566/3777/2776/817/8912/490/185/4881/483/108/3284/5567/5579/482/111/84699/818/115/493/477/2767/801/5138"
"hsa04517","hsa04517","IgSF CAM signaling",297,-0.507876078033328,-1.72999926515931,2.27970897215215e-07,8.8908649913934e-06,5.01269341245152e-06,4289,"tags=38%, list=16%, signal=32%","9693/347733/84552/5962/10627/51744/5295/23705/57513/8826/7082/11141/57731/940/4685/3676/9046/5578/10000/8828/150084/2308/4133/7430/7409/10109/8506/57689/3683/219699/94030/103910/84617/5293/23607/4916/5594/4155/3385/5908/10225/4637/962/2260/6504/25945/7225/56288/9863/23114/382/84631/3742/9353/5063/5803/7846/7280/2885/3690/22865/5595/10332/8777/84623/117157/3736/998/1272/57823/5376/5602/4690/145581/54413/9223/5792/5375/25/79827/120425/57502/4063/137970/22871/83700/5362/6900/30835/7414/5336/253559/79861/6586/5579/10580/10382/23136/8976/342035/58494/287/8633/4629/4684/9423/57863/288/10398/4638/5906/4359"
"hsa04020","hsa04020","Calcium signaling pathway",248,-0.525085881252448,-1.75874971619119,3.27608923640465e-07,1.14990732197803e-05,6.48320817309551e-06,3198,"tags=34%, list=12%, signal=30%","5153/5260/492/147/57118/57105/773/90550/4916/815/7417/155/5156/491/6869/3706/2260/2903/5257/7039/2247/3270/805/1129/1956/2774/814/255231/3708/6547/5566/489/3360/5532/5137/2255/1910/5136/623/4842/6543/148/291/624/3363/2776/817/6546/8912/490/10800/185/154/844/80310/2668/108/2263/845/116443/3707/5336/113026/22953/553/6263/100130933/2185/5567/5025/5023/5579/5350/818/6865/115/84812/493/2767/801/6786/4638/2277/51196/5333"
"hsa03040","hsa03040","Spliceosome",173,0.620701164142791,1.87015305428157,7.55434801160127e-07,2.20964679339337e-05,1.24580475980793e-05,6030,"tags=49%, list=23%, signal=38%","23450/9128/6100/6636/51645/27316/10465/9343/6628/9129/124904619/26834/55110/3178/6627/10189/642659/26831/10713/2521/26835/84321/51634/6625/51690/6626/51691/22916/27339/26832/6432/6632/56259/10915/24148/3192/144983/6633/23658/124904621/79228/25766/101447996/6427/6631/6635/57819/9775/5093/7919/57187/3310/101954264/8175/26828/26864/10946/6431/55660/6629/25804/1665/10772/3312/4809/26121/23350/4116/23020/11338/10084/22827/8683/101954267/9410/101954272/101954273/6426/106480225/10523/57461/56949/26830/55119"
