"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042391","GO:0042391","regulation of membrane potential","225/5209","463/18805",0.485961123110151,1.75436723365068,10.1729448314367,3.69308923867738e-22,2.32369174897581e-18,1.80611501083106e-18,"2906/83959/2563/4233/2904/5831/131096/5366/2564/6804/1029/8838/79680/41/183/598/637/23415/3783/776/2030/1813/3767/3060/51305/9498/9481/2537/213/116444/3784/169522/3787/1180/348980/6910/4693/8973/1144/219736/57528/7476/2560/1815/138429/8326/4985/54209/9096/3744/4897/6512/1146/869/2569/6569/23630/2556/3743/2557/2741/7224/23620/2915/57369/27133/2554/859/2895/149461/22999/1137/64208/10345/1139/89832/3755/4923/153/170572/3739/3737/2743/2281/2891/3762/2897/10242/2565/9312/10060/114131/2898/3752/120892/5027/2257/2566/4057/2258/151647/124925/3776/3790/775/5348/3788/8506/3756/783/10021/10962/6324/9465/6869/2892/6833/9783/30820/2903/2890/170850/123041/3359/340273/23345/388135/6329/9177/3742/55800/6622/54795/5071/10052/1136/140730/285242/1143/10142/3736/84866/4653/6547/23316/1134/55022/3738/54112/54413/1269/56853/23111/1760/1634/4137/567/4842/2852/596/781/6543/148/5649/54831/6328/3777/57502/1181/817/6546/4208/8912/846/22871/152404/154/2893/948/845/116443/1756/8929/266743/4355/66000/29119/22953/2316/2185/6548/5025/5023/9472/9378/857/3778/2901/6330/1268/6327/1824/482/5350/6717/7871/1811/11280/23327/65018/3745/6332/11149/6335/1258/287/3741/288/477/2767/8671/2899/2273/23171/64091",225
"GO:0006936","GO:0006936","muscle contraction","184/5209","359/18805",0.512534818941504,1.85030087736513,10.0685161577984,1.52674909542538e-21,4.80315265420825e-18,3.7333033143928e-18,"1311/3352/6641/124093/5021/7137/9456/7349/7138/6781/3673/10874/1160/1909/1241/10848/796/776/8877/1813/59341/4622/23213/7139/57057/100/2626/487/152/384/4607/57644/56923/3784/29895/1180/1144/100507537/7125/4608/8557/126306/1146/4624/23630/5020/786/1482/60675/2741/8048/859/6870/10345/84676/4633/342667/9499/4620/952/2281/3762/6261/6535/5733/9312/10060/3752/2257/2258/23676/775/390594/5348/147/6769/2982/783/10021/1837/6324/7140/6869/497189/5592/29767/59/150/30820/80763/3270/6329/1129/55800/54795/10052/1136/782/1143/10142/3736/3815/5608/2946/6547/1134/1193/6442/5144/1760/1910/143872/4842/322/2852/781/148/5294/6328/624/51761/3363/817/6546/1674/800/8912/8082/406937/490/5997/154/844/2668/845/1756/1907/1113/29119/22953/2316/6263/8654/1410/6548/92241/5025/5023/857/3778/6338/6330/9215/7111/6327/1908/1824/5350/6717/93649/6525/7871/6752/11280/2934/23327/6332/7169/6335/6865/25802/287/7168/1264/3741/4629/493/23336/4660/477/2775/10398/4638/23171",184
"GO:0006959","GO:0006959","humoral immune response","161/5209","309/18805",0.521035598705502,1.88098952460299,9.6651321806423,6.3155957241058e-20,1.32459094320246e-16,1.02955290295423e-16,"731/4316/5650/2921/9156/2919/6374/5473/3853/5225/717/3576/2243/5645/2244/2125/6556/7784/2920/5068/6700/2147/124976/4179/54210/280664/796/64127/140832/6373/6372/6370/10417/8346/629/6369/114771/26525/6278/3605/1671/6364/10344/338376/8547/3627/3500/57115/3502/25818/5196/3426/6406/1604/5967/112744/57817/725/6348/1673/140686/6407/5968/164237/3273/3553/3503/326/4069/54209/671/259240/6280/1670/8343/2302/6349/84659/130120/735/730249/56832/4589/732/6346/10877/81623/51297/3080/3346/57829/3078/2220/3495/3497/55061/3827/2213/78989/729/6360/5788/4057/820/85480/6356/3507/713/714/5919/1378/6352/10563/683/1236/1880/2219/5199/6846/11326/1672/3848/10148/3075/712/5450/4852/6363/3493/6357/5452/931/11005/6366/1380/28912/6355/2208/6358/1675/2/6359/567/9214/729230/596/3494/4208/3958/56477/7432/1511/1191/5648/116842/3512/730/3960/6368/1991/6387",161
"GO:0003012","GO:0003012","muscle system process","220/5209","467/18805",0.471092077087794,1.70068852171933,9.49082971415081,1.30535619621987e-19,2.05332529665386e-16,1.59596970727303e-16,"9569/1311/3352/6641/124093/2146/5021/7137/407975/9456/493829/7349/7138/6781/183/3673/10874/1160/1909/1241/10848/796/776/8877/1813/59341/407014/4622/23213/7139/57057/100/2626/487/152/384/4607/57644/56923/3784/29895/1180/9997/1144/6905/100507537/7125/3553/4608/8557/6588/126306/1146/4624/23630/5020/786/389827/1482/60675/2741/8048/140628/859/6870/10345/84676/816/4633/90523/51778/342667/9499/4620/952/3952/28999/2281/3762/6261/6535/5733/9312/10060/3752/2257/2258/23676/775/390594/5348/7074/147/6769/2982/783/3479/10021/1837/6324/7140/6869/8013/6833/497189/5592/29767/59/150/30820/7373/80763/3270/6329/1129/55800/54795/10052/1136/782/1143/10142/2660/3736/3815/5608/2946/4653/6547/1134/1193/6442/5144/1760/1910/143872/3572/4842/322/2852/781/148/5294/4211/6328/624/51761/3363/817/6546/1674/800/8912/8082/406937/490/5997/154/844/2668/845/1756/1907/3162/8470/1113/29119/22953/2316/6263/8654/1410/6548/92241/5025/5023/221476/9472/857/3778/6338/6330/9215/7111/6327/1908/1824/5350/6717/93649/6525/7871/6752/11280/114907/2934/9464/23327/6332/7169/6335/5028/6865/25802/5152/287/7168/1264/51676/3741/4629/493/32/23336/4660/477/2775/10398/4638/23171",220
"GO:0019730","GO:0019730","antimicrobial humoral response","105/5209","185/18805",0.567567567567568,2.04897448802229,8.87478159012119,7.89085233985817e-17,9.92984858447753e-14,7.71808420441707e-14,"4316/5650/2921/2919/6374/5473/3853/5225/3576/2243/5645/2244/2125/6556/2920/5068/6700/2147/280664/796/64127/140832/6373/6372/6370/10417/8346/6369/114771/26525/6278/3605/1671/6364/10344/3627/3500/57115/3502/25818/5196/6406/5967/112744/57817/6348/1673/140686/6407/5968/164237/3273/3503/4069/671/259240/6280/1670/8343/6349/84659/130120/730249/4589/6346/81623/51297/3346/3495/3497/3827/78989/6360/4057/820/85480/6356/3507/5919/6352/10563/6846/1672/4852/6363/3493/6357/11005/6366/28912/6355/6358/6359/567/3494/3958/56477/7432/1511/116842/3512/3960/6368/1991/6387",105
"GO:0003018","GO:0003018","vascular process in circulatory system","136/5209","278/18805",0.489208633093525,1.76609106264614,7.96520513465885,3.35899317543021e-14,3.52246417663448e-11,2.73787408649978e-11,"8140/6533/145741/1311/3352/5021/8884/7422/64849/6581/54716/7349/1244/11156/2243/2244/4363/183/6558/8985/6541/6513/6510/1909/388125/92745/796/2030/59341/2828/10991/2266/9498/5345/152/1373/6529/4036/2296/2303/219537/6582/875/1401/102724560/84889/6456/186/6506/3827/153/952/3952/1816/146/9153/10242/10060/4880/53919/147/2982/9839/257313/155/6869/6833/5592/59/150/5029/196740/5243/9590/9353/54795/10396/284/6565/9368/7122/3953/27134/489/79987/6536/7010/1910/143872/654/4842/5139/2852/3043/6543/148/624/3363/6546/5467/6505/846/490/10800/5997/10979/185/154/948/4881/1889/1907/553/5023/55640/857/3778/387700/6338/1908/482/8850/2150/114134/3779/5028/6865/3741/634/493/477/6517/8671/5138/9429/6584",136
"GO:0019724","GO:0019724","B cell mediated immunity","108/5209","208/18805",0.519230769230769,1.87447391349292,7.84971343503621,1.07133615574017e-13,9.62978155988161e-11,7.48485380386288e-11,"731/9156/3329/51010/717/7784/10459/4179/64127/79915/50943/3635/149840/100141515/3500/3502/3426/7292/1604/3598/970/127943/725/10538/3503/54209/2214/2302/735/732/28343/28466/28467/28391/28461/28454/3495/3497/55061/28447/102723169/28414/28445/102723168/30009/3543/28455/28434/28834/102723170/2213/28473/28429/28401/3586/729/5788/28439/28426/28400/3538/28395/3542/28394/57289/28432/28420/713/714/28468/3539/28385/1439/28409/1378/84174/3558/28449/28412/959/28457/3514/28448/28464/28388/57379/28423/28442/28424/28392/28450/712/28444/100423062/3493/1380/28408/939/28452/2208/28410/695/930/9214/3494/1191/2205/730",108
"GO:0016064","GO:0016064","immunoglobulin mediated immune response","106/5209","205/18805",0.517073170731707,1.8666847716663,7.72286327471154,2.56711924511443e-13,2.0190392862825e-10,1.56932052800022e-10,"731/9156/3329/51010/717/7784/10459/4179/64127/79915/50943/3635/149840/100141515/3500/3502/3426/7292/1604/3598/127943/725/10538/3503/54209/2214/2302/735/732/28343/28466/28467/28391/28461/28454/3495/3497/55061/28447/102723169/28414/28445/102723168/30009/3543/28455/28434/28834/102723170/2213/28473/28429/28401/3586/729/5788/28439/28426/28400/3538/28395/3542/28394/57289/28432/28420/713/714/28468/3539/28385/1439/28409/1378/3558/28449/28412/959/28457/3514/28448/28464/28388/57379/28423/28442/28424/28392/28450/712/28444/100423062/3493/1380/28408/939/28452/2208/28410/695/930/9214/3494/1191/2205/730",106
"GO:1903522","GO:1903522","regulation of blood circulation","129/5209","269/18805",0.479553903345725,1.73123654298644,7.47692007806118,9.54870709923118e-13,6.16747486612134e-10,4.79373778365171e-10,"8862/5021/10699/7137/7349/2243/100506013/7054/2244/6781/183/1909/79191/776/1813/2266/7139/100/2626/6271/487/152/57644/3784/6474/6910/9096/4624/4159/23630/219537/5020/1482/8048/859/6870/10345/4633/89832/186/153/952/3952/146/2281/3762/10242/10060/3752/57731/2258/775/5348/492/147/7220/783/10021/6324/491/6869/150/57413/30820/80763/3270/1129/55800/54795/10052/10142/2946/6547/1193/489/5144/79987/1760/1910/143872/27129/4842/781/6543/148/5294/624/817/6546/1674/8912/6505/846/490/10800/5997/185/845/1889/1756/7068/1907/1113/29119/2316/140/553/8654/6548/5025/5023/2034/857/6330/6327/1908/1824/482/5350/6717/11149/287/7168/3741/493/477/2775/23171/64091",129
"GO:0023061","GO:0023061","signal release","210/5209","497/18805",0.422535211267606,1.52539348202867,7.34749239422506,1.16705778479114e-12,6.16747486612134e-10,4.79373778365171e-10,"3651/3624/54972/3589/6659/5021/7447/7036/4828/6696/3976/3814/6804/7349/2243/6755/23178/2244/41/183/5582/26281/9066/2297/2147/50487/55636/9024/4282/3170/8618/3552/8431/26154/79751/3625/1813/5008/7425/1312/59341/3767/91608/90019/10815/2151/3060/3557/51305/2266/9498/2912/1588/152/8600/338442/6812/91683/5972/3784/3623/2922/8074/101/8973/8224/668/7476/56729/632/2914/3553/3358/55107/5950/9627/4825/51083/9256/5020/55503/5413/1081/2692/6514/63036/134391/9370/4160/57818/222546/22999/1137/886/440279/140679/116/89832/4760/4988/952/3737/9379/3952/131177/2281/2864/338557/100507043/114131/120892/5027/9607/2850/7021/358/6572/1946/388581/6861/5798/7074/6352/2781/8792/114899/401258/2641/815/130399/169026/6869/6854/8399/6571/6833/9783/6860/150/23208/2260/143425/6623/6616/2822/640/6622/54795/5071/389692/94121/9899/1136/140730/1143/81285/2044/3708/139760/5608/8425/6855/286097/22895/695/55512/2587/1910/654/4129/2852/4826/4208/5467/846/22871/7432/185/9971/2668/80736/51092/5030/1113/6844/140/1393/5025/5023/9378/6422/2901/5579/1268/1908/111/6717/2150/84417/65018/1374/3745/5028/6865/5125/3741/6387/2767/2775/5906",210
