"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","188/2499","370/9522",0.508108108108108,1.93605658479608,10.9548903623925,7.21127571752883e-25,2.51673522541756e-22,1.81420515419936e-22,"2906/8862/3352/2563/64106/5021/2904/27346/90226/4828/2564/3814/7349/6755/100506013/5645/387129/183/10874/2147/1909/1241/5644/283869/4157/796/84634/1813/7425/2568/53637/2151/3060/2918/2925/2912/152/51289/116444/56923/56413/2922/3972/8973/1144/6019/130576/2560/1815/2914/3358/4985/51083/4142/1146/2569/2831/4159/2556/4158/5020/2358/57152/5617/2557/1081/2692/7201/2741/8484/23620/3375/2915/797/4160/2554/2895/2562/1137/6870/1139/886/116/89832/4923/186/2642/4543/4889/3827/153/4988/3952/1816/2743/6754/5729/146/2891/2897/84539/5737/2565/5733/114131/2898/5027/2566/5540/53829/147/57105/257313/165829/6751/4886/2641/3001/155/6869/2892/6344/150/5029/2903/2890/100996758/80763/27334/5179/5368/4852/1129/1901/1132/1136/1143/6753/1134/7434/3953/1269/3360/5745/2587/1910/623/10022/7433/148/4887/5539/624/3363/2690/10800/7432/2908/1511/185/286530/154/2893/116443/7068/1907/5030/22953/140/553/5734/5025/5023/2901/1268/1908/117/66004/6750/6752/2150/1902/5697/5028/6865/9934/2899/9340",188
"hsa04082",NA,NA,"hsa04082","Neuroactive ligand signaling","112/2499","199/9522",0.562814070351759,2.14450403276889,9.73260504542582,1.30427194096576e-19,2.27595453698525e-17,1.64063680995166e-17,"2906/3352/2563/2904/2564/63910/5582/109/2786/1813/2568/2792/2790/2918/2912/152/116444/5332/6529/8973/6531/2560/1815/2914/3358/4985/6512/2569/4159/2556/181/2557/2741/2915/4160/2554/2562/1137/6870/1139/140679/89832/6506/153/170572/4988/1816/2743/146/2891/2897/2565/2898/51764/2566/6572/53829/147/6869/2892/6571/150/5029/2903/2890/5179/3359/5368/9177/1129/2774/1132/2791/1136/285242/1143/3360/6536/148/3363/2776/2770/60482/6505/94235/154/2893/108/116443/5030/64805/55970/22953/140/1103/5567/5025/5023/2901/5579/111/246213/54331/5028/6865/115/9934/2767/2788/2775/57030/2899",112
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","132/2499","254/9522",0.519685039370079,1.98016844533089,9.44468851058042,8.16652956023363e-19,9.50039605507178e-17,6.84842303472223e-17,"2906/4233/5021/2904/9965/7422/5582/26281/8817/109/4485/26291/1909/5255/5335/776/8877/2264/2248/2925/487/2253/116444/56413/5332/810/2769/163688/8074/8822/7125/3358/6588/2249/100507027/51806/7201/2915/6870/10345/816/1139/886/2066/89832/4923/153/952/1816/146/6261/5737/5733/4803/8823/2254/5027/2252/775/5153/492/147/57118/57105/773/4916/815/155/5156/491/6869/3706/2260/2903/2247/3270/1129/2774/814/255231/3708/6547/489/3360/5137/2255/1910/5136/623/4842/6543/148/624/3363/2776/817/6546/8912/490/10800/185/154/844/80310/2668/108/2263/845/116443/3707/5336/113026/22953/553/6263/100130933/2185/5567/5025/5023/5579/5350/6865/115/84812/493/2767/6786/4638/2277/51196/5333",132
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","136/2499","298/9522",0.456375838926175,1.73893987125051,7.73073278304292,1.8971429791683e-13,1.65525724932434e-11,1.19320308426638e-11,"3624/51330/3589/9518/2921/2919/9966/6374/5473/268/51561/3976/8744/285613/3576/655/8795/1437/2920/284340/53832/10913/83729/652/11009/84957/3552/3625/1237/6373/5008/6372/6370/27189/4982/6369/3557/26525/3605/6364/10344/338376/8600/3627/3623/5196/7292/3598/27177/970/112744/1440/4838/6348/56300/3553/8808/50604/8794/27178/55504/3596/6349/5617/2056/3567/56832/6346/282617/8200/392255/2829/3952/4803/3586/6360/51554/269/85480/6356/944/4050/1439/6352/10563/920/3558/10803/1236/959/8792/130399/27190/6846/4804/3568/1436/10148/1435/6363/6357/3587/643/2660/6366/2826/115650/6355/7850/939/1524/3590/3953/8742/6358/6359/355/654/3572/729230/653/1271/56477/2690/3603/768211/94/608/23495/650/8743/6368/6387/3977/651/3570",136
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","110/2499","233/9522",0.472103004291845,1.79886546893435,7.36427850811407,2.88333793366354e-12,2.01256987769715e-10,1.45077424451703e-10,"6712/1301/10529/1311/6641/81624/7137/51332/271/633/1277/7138/1299/343263/3673/85301/4703/84823/127294/22801/1290/7058/1289/375790/4622/7139/1278/57159/50509/1282/4607/165904/57644/1462/3696/29895/1281/27063/84033/1297/131873/7125/4608/8557/1298/4624/84467/8048/137868/84676/4633/51778/9499/4620/91977/1158/1287/57731/2199/84675/4606/4892/3695/7060/9260/1837/7140/29767/256076/64236/23345/2192/3690/1288/84665/6442/56776/1634/22989/1674/8082/8910/27295/161176/1756/7414/3679/6445/284217/23500/8516/7111/1824/482/171024/2318/7169/72/25802/270/287/7168/4629/288/477/11155/10398/8736/2273/1465",110
"hsa04081",NA,NA,"hsa04081","Hormone signaling","101/2499","219/9522",0.461187214611872,1.75727277212255,6.76279098945376,1.23521313334167e-10,7.18482305893737e-09,5.17922699769577e-09,"5021/90226/268/7349/3481/6755/183/1734/109/4157/796/2786/1813/2792/2790/3060/341208/2520/152/5332/2769/3972/5296/57817/1815/4985/4159/4158/5020/5617/2056/1081/2692/7201/3375/797/9370/4160/886/4883/186/2642/153/4988/3952/1816/6754/146/2099/84539/4880/114131/51764/269/2100/53919/147/5293/6751/3479/2641/155/5592/150/5179/5368/2791/3690/6753/7434/3953/5745/4842/2852/7433/148/2776/2770/94235/2690/7432/185/154/4881/108/7068/55970/553/5567/10672/111/6750/6752/54331/2981/115/2767/2788/2775/2980/5593",101
"hsa04970","Organismal Systems","Digestive system","hsa04970","Salivary secretion","54/2499","97/9522",0.556701030927835,2.1212113711464,6.62057573217843,6.68475441504701e-10,3.33282755835915e-08,2.40249068450562e-08,"1469/1470/1472/4025/5582/6558/362/4586/109/3783/1473/5332/810/163688/5554/5555/4069/653247/5542/55503/51806/4589/3346/153/952/146/820/492/147/683/2982/155/491/5592/3708/4842/148/54831/2776/490/154/108/6844/6263/5567/6548/3778/5579/482/111/115/493/477/5593",54
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","56/2499","105/9522",0.533333333333333,2.03217286914766,6.34386423583909,2.7938295681286e-09,1.15093784367995e-07,8.29661120915424e-08,"1300/1301/1294/1277/6520/5645/1299/85301/6510/4311/5644/3783/1303/1290/1289/1278/169044/50509/1295/1282/1361/3784/1281/1297/131873/136227/1298/3769/11136/153201/63036/84570/1308/1287/1360/91522/340267/256076/7373/23436/6564/1359/6547/1288/1310/6543/4224/6546/6505/81578/340024/6550/482/477/4225/206358",56
"hsa04061","Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","54/2499","100/9522",0.54,2.057575030012,6.3416565044877,2.96803455390246e-09,1.15093784367995e-07,8.29661120915424e-08,"2921/2919/6374/5473/3576/8795/2920/53832/11009/1237/6373/6372/6370/6369/6364/10344/3627/5196/6348/50604/8794/27178/6349/6346/2829/3586/6360/51554/6356/6352/10563/3558/10803/1236/6846/1436/1435/6363/6357/3587/643/6366/2826/6355/1524/6358/6359/3572/729230/56477/8743/6368/6387/3570",54
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","49/2499","88/9522",0.556818181818182,2.1216577540107,6.30546093677134,4.08477114886656e-09,1.42558513095443e-07,1.02764242587274e-07,"731/5328/717/2243/2244/2161/2147/3053/4179/2155/5054/5055/5270/2151/629/2266/10544/5345/2153/1361/3426/1604/3687/725/735/2165/732/10877/3080/2158/3078/3827/729/713/714/1378/11326/2157/3075/712/1380/1675/2/623/624/2162/1191/5648/730",49
